Sample_ID,Experimental_group,taxa,RA,cycle,animal
253.1.14,Non-infected,Aerococcaceae(Family),0.56,1,253
253.1.14,Non-infected,Aerococcus,10.3,1,253
253.1.14,Non-infected,Allobaculum,2.13,1,253
253.1.14,Non-infected,Anaerococcus,7.12,1,253
253.1.14,Non-infected,Arcanobacterium,0.72,1,253
253.1.14,Non-infected,Bacteroidales_S24-7(Family),0.18,1,253
253.1.14,Non-infected,Chlamydia,0,1,253
253.1.14,Non-infected,Clostridiaceae.otu1,0.18,1,253
253.1.14,Non-infected,Clostridiaceae(Family),1.55,1,253
253.1.14,Non-infected,Corynebacterium,49.77,1,253
253.1.14,Non-infected,Enterococcus,3.49,1,253
253.1.14,Non-infected,Erysipelotrichacea_PSB-M-3,0.29,1,253
253.1.14,Non-infected,Escherichia,0,1,253
253.1.14,Non-infected,Facklamia,7.1,1,253
253.1.14,Non-infected,Helcococcus,2.13,1,253
253.1.14,Non-infected,Other,3.8,1,253
253.1.14,Non-infected,Peptococcus,0.5,1,253
253.1.14,Non-infected,Peptoniphilus,3.32,1,253
253.1.14,Non-infected,Porphyromonadaceae.Family.,0.18,1,253
253.1.14,Non-infected,Porphyromonas,0.85,1,253
253.1.14,Non-infected,Proteus,0.6,1,253
253.1.14,Non-infected,Ruminococcaceae.Family.,0.23,1,253
253.1.14,Non-infected,Rummeliibacillus,0.52,1,253
253.1.14,Non-infected,Solibacillus,0.43,1,253
253.1.14,Non-infected,Staphylococcus,1.1,1,253
253.1.14,Non-infected,Streptococcaceae.Family.,0,1,253
253.1.14,Non-infected,Weissella,0.09,1,253
253.1.16,Non-infected,Acinetobacter,0.08,1,253
253.1.16,Non-infected,Actinomyces,0.29,1,253
253.1.16,Non-infected,Actinomycetales.Order.,1.88,1,253
253.1.16,Non-infected,Aerococcaceae(Family),0.01,1,253
253.1.16,Non-infected,Aerococcus,0.59,1,253
253.1.16,Non-infected,Allobaculum,0.81,1,253
253.1.16,Non-infected,Anaerococcus,3.04,1,253
253.1.16,Non-infected,Arcanobacterium,0.36,1,253
253.1.16,Non-infected,Bacteroidales_S24-7(Family),0.02,1,253
253.1.16,Non-infected,Chlamydia,0,1,253
253.1.16,Non-infected,Clostridiaceae.otu1,0.23,1,253
253.1.16,Non-infected,Clostridiaceae(Family),0.44,1,253
253.1.16,Non-infected,Corynebacterium,70.32,1,253
253.1.16,Non-infected,Enterococcus,0.44,1,253
253.1.16,Non-infected,Erysipelotrichacea_PSB-M-3,0.02,1,253
253.1.16,Non-infected,Escherichia,0.04,1,253
253.1.16,Non-infected,Facklamia,1.25,1,253
253.1.16,Non-infected,Helcococcus,0.55,1,253
253.1.16,Non-infected,Other,4.5,1,253
253.1.16,Non-infected,Peptococcus,0.3,1,253
253.1.16,Non-infected,Peptoniphilus,2.32,1,253
253.1.16,Non-infected,Porphyromonadaceae.Family.,0.05,1,253
253.1.16,Non-infected,Porphyromonas,0.05,1,253
253.1.16,Non-infected,Proteus,0.01,1,253
253.1.16,Non-infected,Ruminococcaceae.Family.,0,1,253
253.1.16,Non-infected,Rummeliibacillus,0.11,1,253
253.1.16,Non-infected,Solibacillus,0.05,1,253
253.1.16,Non-infected,Staphylococcus,12.25,1,253
253.1.16,Non-infected,Streptococcaceae.Family.,0.02,1,253
253.1.16,Non-infected,Weissella,0.01,1,253
253.2.02,Non-infected,Acinetobacter,5.26,2,253
253.2.02,Non-infected,Actinomyces,1.77,2,253
253.2.02,Non-infected,Actinomycetales.Order.,0.76,2,253
253.2.02,Non-infected,Aerococcaceae(Family),0.13,2,253
253.2.02,Non-infected,Aerococcus,23.2,2,253
253.2.02,Non-infected,Allobaculum,4.32,2,253
253.2.02,Non-infected,Anaerococcus,1.9,2,253
253.2.02,Non-infected,Arcanobacterium,1.88,2,253
253.2.02,Non-infected,Bacteroidales_S24-7(Family),1.38,2,253
253.2.02,Non-infected,Chlamydia,0,2,253
253.2.02,Non-infected,Clostridiaceae.otu1,0.11,2,253
253.2.02,Non-infected,Clostridiaceae(Family),0.58,2,253
253.2.02,Non-infected,Corynebacterium,30.95,2,253
253.2.02,Non-infected,Enterococcus,2.26,2,253
253.2.02,Non-infected,Erysipelotrichacea_PSB-M-3,0.15,2,253
253.2.02,Non-infected,Escherichia,0.33,2,253
253.2.02,Non-infected,Facklamia,7.4,2,253
253.2.02,Non-infected,Helcococcus,0.34,2,253
253.2.02,Non-infected,Other,8.8,2,253
253.2.02,Non-infected,Peptococcus,0.2,2,253
253.2.02,Non-infected,Peptoniphilus,0.95,2,253
253.2.02,Non-infected,Porphyromonadaceae.Family.,0.07,2,253
253.2.02,Non-infected,Porphyromonas,0.49,2,253
253.2.02,Non-infected,Proteus,0.26,2,253
253.2.02,Non-infected,Ruminococcaceae.Family.,0.4,2,253
253.2.02,Non-infected,Rummeliibacillus,2.64,2,253
253.2.02,Non-infected,Solibacillus,0.36,2,253
253.2.02,Non-infected,Staphylococcus,2.57,2,253
253.2.02,Non-infected,Streptococcaceae.Family.,0.42,2,253
253.2.02,Non-infected,Weissella,0.07,2,253
253.2.05,Non-infected,Acinetobacter,0.5,2,253
253.2.05,Non-infected,Actinomyces,1.7,2,253
253.2.05,Non-infected,Actinomycetales.Order.,1.33,2,253
253.2.05,Non-infected,Aerococcaceae(Family),0.25,2,253
253.2.05,Non-infected,Aerococcus,8.7,2,253
253.2.05,Non-infected,Allobaculum,2.09,2,253
253.2.05,Non-infected,Anaerococcus,1.88,2,253
253.2.05,Non-infected,Arcanobacterium,4.59,2,253
253.2.05,Non-infected,Bacteroidales_S24-7(Family),1.57,2,253
253.2.05,Non-infected,Chlamydia,0,2,253
253.2.05,Non-infected,Clostridiaceae.otu1,0.11,2,253
253.2.05,Non-infected,Clostridiaceae(Family),1.74,2,253
253.2.05,Non-infected,Corynebacterium,51.01,2,253
253.2.05,Non-infected,Enterococcus,2.16,2,253
253.2.05,Non-infected,Erysipelotrichacea_PSB-M-3,0.13,2,253
253.2.05,Non-infected,Escherichia,0.04,2,253
253.2.05,Non-infected,Facklamia,6.78,2,253
253.2.05,Non-infected,Helcococcus,0.6,2,253
253.2.05,Non-infected,Other,6.9,2,253
253.2.05,Non-infected,Peptococcus,0.2,2,253
253.2.05,Non-infected,Peptoniphilus,1.29,2,253
253.2.05,Non-infected,Porphyromonadaceae.Family.,0.09,2,253
253.2.05,Non-infected,Porphyromonas,1.9,2,253
253.2.05,Non-infected,Proteus,0,2,253
253.2.05,Non-infected,Ruminococcaceae.Family.,0.46,2,253
253.2.05,Non-infected,Rummeliibacillus,2.12,2,253
253.2.05,Non-infected,Solibacillus,0.16,2,253
253.2.05,Non-infected,Staphylococcus,1.61,2,253
253.2.05,Non-infected,Streptococcaceae.Family.,0,2,253
253.2.05,Non-infected,Weissella,0.13,2,253
253.2.08,Non-infected,Acinetobacter,0.6,2,253
253.2.08,Non-infected,Actinomyces,3.05,2,253
253.2.08,Non-infected,Actinomycetales.Order.,0.38,2,253
253.2.08,Non-infected,Aerococcaceae(Family),0.07,2,253
253.2.08,Non-infected,Aerococcus,6.52,2,253
253.2.08,Non-infected,Allobaculum,4.24,2,253
253.2.08,Non-infected,Anaerococcus,6,2,253
253.2.08,Non-infected,Arcanobacterium,2.44,2,253
253.2.08,Non-infected,Bacteroidales_S24-7(Family),0.56,2,253
253.2.08,Non-infected,Chlamydia,0,2,253
253.2.08,Non-infected,Clostridiaceae.otu1,0.23,2,253
253.2.08,Non-infected,Clostridiaceae(Family),9.32,2,253
253.2.08,Non-infected,Corynebacterium,33.49,2,253
253.2.08,Non-infected,Enterococcus,1.19,2,253
253.2.08,Non-infected,Erysipelotrichacea_PSB-M-3,0.49,2,253
253.2.08,Non-infected,Escherichia,0.22,2,253
253.2.08,Non-infected,Facklamia,3.25,2,253
253.2.08,Non-infected,Helcococcus,0.67,2,253
253.2.08,Non-infected,Other,8.3,2,253
253.2.08,Non-infected,Peptococcus,1,2,253
253.2.08,Non-infected,Peptoniphilus,7.7,2,253
253.2.08,Non-infected,Porphyromonadaceae.Family.,0.46,2,253
253.2.08,Non-infected,Porphyromonas,5.16,2,253
253.2.08,Non-infected,Proteus,0.02,2,253
253.2.08,Non-infected,Ruminococcaceae.Family.,0.16,2,253
253.2.08,Non-infected,Rummeliibacillus,1.14,2,253
253.2.08,Non-infected,Solibacillus,0.06,2,253
253.2.08,Non-infected,Staphylococcus,3.1,2,253
253.2.08,Non-infected,Streptococcaceae.Family.,0.13,2,253
253.2.08,Non-infected,Weissella,0.02,2,253
253.2.11,Non-infected,Acinetobacter,0.46,2,253
253.2.11,Non-infected,Actinomyces,2.4,2,253
253.2.11,Non-infected,Actinomycetales.Order.,0.84,2,253
253.2.11,Non-infected,Aerococcaceae(Family),0.74,2,253
253.2.11,Non-infected,Aerococcus,7.91,2,253
253.2.11,Non-infected,Allobaculum,5.98,2,253
253.2.11,Non-infected,Anaerococcus,9.31,2,253
253.2.11,Non-infected,Arcanobacterium,2.17,2,253
253.2.11,Non-infected,Bacteroidales_S24-7(Family),1.28,2,253
253.2.11,Non-infected,Chlamydia,0,2,253
253.2.11,Non-infected,Clostridiaceae.otu1,0.55,2,253
253.2.11,Non-infected,Clostridiaceae(Family),4.96,2,253
253.2.11,Non-infected,Corynebacterium,25.19,2,253
253.2.11,Non-infected,Enterococcus,0.96,2,253
253.2.11,Non-infected,Erysipelotrichacea_PSB-M-3,0.32,2,253
253.2.11,Non-infected,Escherichia,0,2,253
253.2.11,Non-infected,Facklamia,5.23,2,253
253.2.11,Non-infected,Helcococcus,0.63,2,253
253.2.11,Non-infected,Other,8.7,2,253
253.2.11,Non-infected,Peptococcus,0.3,2,253
253.2.11,Non-infected,Peptoniphilus,7.68,2,253
253.2.11,Non-infected,Porphyromonadaceae.Family.,0.47,2,253
253.2.11,Non-infected,Porphyromonas,4.17,2,253
253.2.11,Non-infected,Proteus,0.06,2,253
253.2.11,Non-infected,Ruminococcaceae.Family.,0.84,2,253
253.2.11,Non-infected,Rummeliibacillus,1.44,2,253
253.2.11,Non-infected,Solibacillus,0.25,2,253
253.2.11,Non-infected,Staphylococcus,6.17,2,253
253.2.11,Non-infected,Streptococcaceae.Family.,0.7,2,253
253.2.11,Non-infected,Weissella,0.32,2,253
253.2.14,Non-infected,Acinetobacter,1.34,2,253
253.2.14,Non-infected,Actinomyces,0.5,2,253
253.2.14,Non-infected,Actinomycetales.Order.,0.31,2,253
253.2.14,Non-infected,Aerococcaceae(Family),0.05,2,253
253.2.14,Non-infected,Aerococcus,6.7,2,253
253.2.14,Non-infected,Allobaculum,5.03,2,253
253.2.14,Non-infected,Anaerococcus,12.9,2,253
253.2.14,Non-infected,Arcanobacterium,1.53,2,253
253.2.14,Non-infected,Bacteroidales_S24-7(Family),0.62,2,253
253.2.14,Non-infected,Chlamydia,0,2,253
253.2.14,Non-infected,Clostridiaceae.otu1,0.14,2,253
253.2.14,Non-infected,Clostridiaceae(Family),4.05,2,253
253.2.14,Non-infected,Corynebacterium,17.5,2,253
253.2.14,Non-infected,Enterococcus,3.24,2,253
253.2.14,Non-infected,Erysipelotrichacea_PSB-M-3,0,2,253
253.2.14,Non-infected,Escherichia,0.52,2,253
253.2.14,Non-infected,Facklamia,5.7,2,253
253.2.14,Non-infected,Helcococcus,2.1,2,253
253.2.14,Non-infected,Other,15.2,2,253
253.2.14,Non-infected,Peptococcus,0.8,2,253
253.2.14,Non-infected,Peptoniphilus,6.72,2,253
253.2.14,Non-infected,Porphyromonadaceae.Family.,0.17,2,253
253.2.14,Non-infected,Porphyromonas,8.44,2,253
253.2.14,Non-infected,Proteus,0,2,253
253.2.14,Non-infected,Ruminococcaceae.Family.,0.24,2,253
253.2.14,Non-infected,Rummeliibacillus,0.88,2,253
253.2.14,Non-infected,Solibacillus,0.19,2,253
253.2.14,Non-infected,Staphylococcus,2.34,2,253
253.2.14,Non-infected,Streptococcaceae.Family.,2.74,2,253
253.2.14,Non-infected,Weissella,0.1,2,253
253.2.16,Non-infected,Acinetobacter,0.5,2,253
253.2.16,Non-infected,Actinomyces,0.38,2,253
253.2.16,Non-infected,Actinomycetales.Order.,0.67,2,253
253.2.16,Non-infected,Aerococcaceae(Family),0,2,253
253.2.16,Non-infected,Aerococcus,18.54,2,253
253.2.16,Non-infected,Allobaculum,5.79,2,253
253.2.16,Non-infected,Anaerococcus,1.03,2,253
253.2.16,Non-infected,Arcanobacterium,0.46,2,253
253.2.16,Non-infected,Bacteroidales_S24-7(Family),0.14,2,253
253.2.16,Non-infected,Chlamydia,0,2,253
253.2.16,Non-infected,Clostridiaceae.otu1,0.03,2,253
253.2.16,Non-infected,Clostridiaceae(Family),0.3,2,253
253.2.16,Non-infected,Corynebacterium,45.73,2,253
253.2.16,Non-infected,Enterococcus,5.35,2,253
253.2.16,Non-infected,Erysipelotrichacea_PSB-M-3,0,2,253
253.2.16,Non-infected,Escherichia,0.04,2,253
253.2.16,Non-infected,Facklamia,7.25,2,253
253.2.16,Non-infected,Helcococcus,0.29,2,253
253.2.16,Non-infected,Other,4.6,2,253
253.2.16,Non-infected,Peptococcus,0.1,2,253
253.2.16,Non-infected,Peptoniphilus,0.84,2,253
253.2.16,Non-infected,Porphyromonadaceae.Family.,0,2,253
253.2.16,Non-infected,Porphyromonas,0.53,2,253
253.2.16,Non-infected,Proteus,0,2,253
253.2.16,Non-infected,Ruminococcaceae.Family.,0.08,2,253
253.2.16,Non-infected,Rummeliibacillus,4.18,2,253
253.2.16,Non-infected,Solibacillus,0.56,2,253
253.2.16,Non-infected,Staphylococcus,2.24,2,253
253.2.16,Non-infected,Streptococcaceae.Family.,0.14,2,253
253.2.16,Non-infected,Weissella,0.19,2,253
254.1.02,Non-infected,Acinetobacter,9.48,1,254
254.1.02,Non-infected,Actinomyces,4.67,1,254
254.1.02,Non-infected,Actinomycetales.Order.,0.84,1,254
254.1.02,Non-infected,Aerococcaceae(Family),1.16,1,254
254.1.02,Non-infected,Aerococcus,7.6,1,254
254.1.02,Non-infected,Allobaculum,2.31,1,254
254.1.02,Non-infected,Anaerococcus,12.32,1,254
254.1.02,Non-infected,Arcanobacterium,0.56,1,254
254.1.02,Non-infected,Bacteroidales_S24-7(Family),1.37,1,254
254.1.02,Non-infected,Chlamydia,0,1,254
254.1.02,Non-infected,Clostridiaceae.otu1,1.68,1,254
254.1.02,Non-infected,Clostridiaceae(Family),9.49,1,254
254.1.02,Non-infected,Corynebacterium,10.96,1,254
254.1.02,Non-infected,Enterococcus,1.86,1,254
254.1.02,Non-infected,Erysipelotrichacea_PSB-M-3,0.32,1,254
254.1.02,Non-infected,Escherichia,0.02,1,254
254.1.02,Non-infected,Facklamia,5.12,1,254
254.1.02,Non-infected,Helcococcus,0.82,1,254
254.1.02,Non-infected,Other,9.5,1,254
254.1.02,Non-infected,Peptococcus,0.4,1,254
254.1.02,Non-infected,Peptoniphilus,5.57,1,254
254.1.02,Non-infected,Porphyromonadaceae.Family.,0.73,1,254
254.1.02,Non-infected,Porphyromonas,8.35,1,254
254.1.02,Non-infected,Proteus,0.23,1,254
254.1.02,Non-infected,Ruminococcaceae.Family.,0.53,1,254
254.1.02,Non-infected,Rummeliibacillus,0.32,1,254
254.1.02,Non-infected,Solibacillus,2.37,1,254
254.1.02,Non-infected,Staphylococcus,1.32,1,254
254.1.02,Non-infected,Streptococcaceae.Family.,0,1,254
254.1.02,Non-infected,Weissella,0.06,1,254
254.1.05,Non-infected,Acinetobacter,2.3,1,254
254.1.05,Non-infected,Actinomyces,4.05,1,254
254.1.05,Non-infected,Actinomycetales.Order.,0.74,1,254
254.1.05,Non-infected,Aerococcaceae(Family),0.67,1,254
254.1.05,Non-infected,Aerococcus,4.62,1,254
254.1.05,Non-infected,Allobaculum,4.65,1,254
254.1.05,Non-infected,Anaerococcus,15.26,1,254
254.1.05,Non-infected,Arcanobacterium,0.96,1,254
254.1.05,Non-infected,Bacteroidales_S24-7(Family),0.72,1,254
254.1.05,Non-infected,Chlamydia,0,1,254
254.1.05,Non-infected,Clostridiaceae.otu1,1.39,1,254
254.1.05,Non-infected,Clostridiaceae(Family),7.64,1,254
254.1.05,Non-infected,Corynebacterium,28.55,1,254
254.1.05,Non-infected,Enterococcus,0.91,1,254
254.1.05,Non-infected,Erysipelotrichacea_PSB-M-3,0.6,1,254
254.1.05,Non-infected,Escherichia,0,1,254
254.1.05,Non-infected,Facklamia,3.76,1,254
254.1.05,Non-infected,Helcococcus,0.91,1,254
254.1.05,Non-infected,Other,7.2,1,254
254.1.05,Non-infected,Peptococcus,0.7,1,254
254.1.05,Non-infected,Peptoniphilus,7.57,1,254
254.1.05,Non-infected,Porphyromonadaceae.Family.,0.24,1,254
254.1.05,Non-infected,Porphyromonas,4.19,1,254
254.1.05,Non-infected,Proteus,0.24,1,254
254.1.05,Non-infected,Ruminococcaceae.Family.,0.41,1,254
254.1.05,Non-infected,Rummeliibacillus,0.17,1,254
254.1.05,Non-infected,Solibacillus,1.03,1,254
254.1.05,Non-infected,Staphylococcus,0.48,1,254
254.1.05,Non-infected,Streptococcaceae.Family.,0,1,254
254.1.05,Non-infected,Weissella,0.02,1,254
254.1.08,Non-infected,Acinetobacter,2.14,1,254
254.1.08,Non-infected,Actinomyces,0.88,1,254
254.1.08,Non-infected,Actinomycetales.Order.,1.17,1,254
254.1.08,Non-infected,Aerococcaceae(Family),0.43,1,254
254.1.08,Non-infected,Aerococcus,10.87,1,254
254.1.08,Non-infected,Allobaculum,5.28,1,254
254.1.08,Non-infected,Anaerococcus,6.63,1,254
254.1.08,Non-infected,Arcanobacterium,0.26,1,254
254.1.08,Non-infected,Bacteroidales_S24-7(Family),1.27,1,254
254.1.08,Non-infected,Chlamydia,0,1,254
254.1.08,Non-infected,Clostridiaceae.otu1,0.13,1,254
254.1.08,Non-infected,Clostridiaceae(Family),2.99,1,254
254.1.08,Non-infected,Corynebacterium,30.66,1,254
254.1.08,Non-infected,Enterococcus,6.45,1,254
254.1.08,Non-infected,Erysipelotrichacea_PSB-M-3,0.04,1,254
254.1.08,Non-infected,Escherichia,0,1,254
254.1.08,Non-infected,Facklamia,5.07,1,254
254.1.08,Non-infected,Helcococcus,1.45,1,254
254.1.08,Non-infected,Other,12.6,1,254
254.1.08,Non-infected,Peptococcus,0.3,1,254
254.1.08,Non-infected,Peptoniphilus,1.57,1,254
254.1.08,Non-infected,Porphyromonadaceae.Family.,0.4,1,254
254.1.08,Non-infected,Porphyromonas,0.33,1,254
254.1.08,Non-infected,Proteus,0,1,254
254.1.08,Non-infected,Ruminococcaceae.Family.,0.63,1,254
254.1.08,Non-infected,Rummeliibacillus,0.56,1,254
254.1.08,Non-infected,Solibacillus,1.6,1,254
254.1.08,Non-infected,Staphylococcus,4.86,1,254
254.1.08,Non-infected,Streptococcaceae.Family.,0.02,1,254
254.1.08,Non-infected,Weissella,1.41,1,254
254.1.11,Non-infected,Acinetobacter,1.18,1,254
254.1.11,Non-infected,Actinomyces,4.42,1,254
254.1.11,Non-infected,Actinomycetales.Order.,0.42,1,254
254.1.11,Non-infected,Aerococcaceae(Family),1.26,1,254
254.1.11,Non-infected,Aerococcus,8.01,1,254
254.1.11,Non-infected,Allobaculum,2.54,1,254
254.1.11,Non-infected,Anaerococcus,5.97,1,254
254.1.11,Non-infected,Arcanobacterium,1.89,1,254
254.1.11,Non-infected,Bacteroidales_S24-7(Family),0.55,1,254
254.1.11,Non-infected,Chlamydia,0,1,254
254.1.11,Non-infected,Clostridiaceae.otu1,0.76,1,254
254.1.11,Non-infected,Clostridiaceae(Family),11.61,1,254
254.1.11,Non-infected,Corynebacterium,21.32,1,254
254.1.11,Non-infected,Enterococcus,1.7,1,254
254.1.11,Non-infected,Erysipelotrichacea_PSB-M-3,0.84,1,254
254.1.11,Non-infected,Escherichia,0,1,254
254.1.11,Non-infected,Facklamia,4.94,1,254
254.1.11,Non-infected,Helcococcus,0.63,1,254
254.1.11,Non-infected,Other,7.9,1,254
254.1.11,Non-infected,Peptococcus,0.6,1,254
254.1.11,Non-infected,Peptoniphilus,5.28,1,254
254.1.11,Non-infected,Porphyromonadaceae.Family.,1.16,1,254
254.1.11,Non-infected,Porphyromonas,12.93,1,254
254.1.11,Non-infected,Proteus,0.13,1,254
254.1.11,Non-infected,Ruminococcaceae.Family.,0.8,1,254
254.1.11,Non-infected,Rummeliibacillus,0.27,1,254
254.1.11,Non-infected,Solibacillus,1.03,1,254
254.1.11,Non-infected,Staphylococcus,1.72,1,254
254.1.11,Non-infected,Streptococcaceae.Family.,0,1,254
254.1.11,Non-infected,Weissella,0.15,1,254
254.1.14,Non-infected,Acinetobacter,0.61,1,254
254.1.14,Non-infected,Actinomyces,4.64,1,254
254.1.14,Non-infected,Actinomycetales.Order.,0.76,1,254
254.1.14,Non-infected,Aerococcaceae(Family),0.68,1,254
254.1.14,Non-infected,Aerococcus,4.06,1,254
254.1.14,Non-infected,Allobaculum,2.28,1,254
254.1.14,Non-infected,Anaerococcus,6.07,1,254
254.1.14,Non-infected,Arcanobacterium,1.61,1,254
254.1.14,Non-infected,Bacteroidales_S24-7(Family),0.36,1,254
254.1.14,Non-infected,Chlamydia,0,1,254
254.1.14,Non-infected,Clostridiaceae.otu1,0.58,1,254
254.1.14,Non-infected,Clostridiaceae(Family),6.36,1,254
254.1.14,Non-infected,Corynebacterium,36.81,1,254
254.1.14,Non-infected,Enterococcus,1.14,1,254
254.1.14,Non-infected,Erysipelotrichacea_PSB-M-3,0.41,1,254
254.1.14,Non-infected,Escherichia,0.01,1,254
254.1.14,Non-infected,Facklamia,5.54,1,254
254.1.14,Non-infected,Helcococcus,0.63,1,254
254.1.14,Non-infected,Other,6.6,1,254
254.1.14,Non-infected,Peptococcus,0.5,1,254
254.1.14,Non-infected,Peptoniphilus,8.77,1,254
254.1.14,Non-infected,Porphyromonadaceae.Family.,0.43,1,254
254.1.14,Non-infected,Porphyromonas,3.32,1,254
254.1.14,Non-infected,Proteus,0.63,1,254
254.1.14,Non-infected,Ruminococcaceae.Family.,0.16,1,254
254.1.14,Non-infected,Rummeliibacillus,0.77,1,254
254.1.14,Non-infected,Solibacillus,0.09,1,254
254.1.14,Non-infected,Staphylococcus,6.08,1,254
254.1.14,Non-infected,Streptococcaceae.Family.,0,1,254
254.1.14,Non-infected,Weissella,0.06,1,254
254.1.16,Non-infected,Acinetobacter,7.51,1,254
254.1.16,Non-infected,Actinomyces,7.83,1,254
254.1.16,Non-infected,Actinomycetales.Order.,2.31,1,254
254.1.16,Non-infected,Aerococcaceae(Family),0.96,1,254
254.1.16,Non-infected,Aerococcus,5.59,1,254
254.1.16,Non-infected,Allobaculum,1.77,1,254
254.1.16,Non-infected,Anaerococcus,3.11,1,254
254.1.16,Non-infected,Arcanobacterium,2.48,1,254
254.1.16,Non-infected,Bacteroidales_S24-7(Family),0.47,1,254
254.1.16,Non-infected,Chlamydia,0,1,254
254.1.16,Non-infected,Clostridiaceae.otu1,0.24,1,254
254.1.16,Non-infected,Clostridiaceae(Family),3.78,1,254
254.1.16,Non-infected,Corynebacterium,28.62,1,254
254.1.16,Non-infected,Enterococcus,8.34,1,254
254.1.16,Non-infected,Erysipelotrichacea_PSB-M-3,0.49,1,254
254.1.16,Non-infected,Escherichia,0,1,254
254.1.16,Non-infected,Facklamia,4.9,1,254
254.1.16,Non-infected,Helcococcus,0.61,1,254
254.1.16,Non-infected,Other,9.2,1,254
254.1.16,Non-infected,Peptococcus,0.3,1,254
254.1.16,Non-infected,Peptoniphilus,1.25,1,254
254.1.16,Non-infected,Porphyromonadaceae.Family.,1.03,1,254
254.1.16,Non-infected,Porphyromonas,5.05,1,254
254.1.16,Non-infected,Proteus,0.02,1,254
254.1.16,Non-infected,Ruminococcaceae.Family.,0.52,1,254
254.1.16,Non-infected,Rummeliibacillus,1.3,1,254
254.1.16,Non-infected,Solibacillus,0.3,1,254
254.1.16,Non-infected,Staphylococcus,1.76,1,254
254.1.16,Non-infected,Streptococcaceae.Family.,0.1,1,254
254.1.16,Non-infected,Weissella,0.2,1,254
254.2.02,Non-infected,Acinetobacter,0.83,2,254
254.2.02,Non-infected,Actinomyces,2.26,2,254
254.2.02,Non-infected,Actinomycetales.Order.,0.91,2,254
254.2.02,Non-infected,Aerococcaceae(Family),0.2,2,254
254.2.02,Non-infected,Aerococcus,2.71,2,254
254.2.02,Non-infected,Allobaculum,2.97,2,254
254.2.02,Non-infected,Anaerococcus,4.91,2,254
254.2.02,Non-infected,Arcanobacterium,2.5,2,254
254.2.02,Non-infected,Bacteroidales_S24-7(Family),1.11,2,254
254.2.02,Non-infected,Chlamydia,0,2,254
254.2.02,Non-infected,Clostridiaceae.otu1,0.74,2,254
254.2.02,Non-infected,Clostridiaceae(Family),17.24,2,254
254.2.02,Non-infected,Corynebacterium,23.65,2,254
254.2.02,Non-infected,Enterococcus,0.56,2,254
254.2.02,Non-infected,Erysipelotrichacea_PSB-M-3,0.49,2,254
254.2.02,Non-infected,Escherichia,0.04,2,254
254.2.02,Non-infected,Facklamia,2.15,2,254
254.2.02,Non-infected,Helcococcus,0.42,2,254
254.2.02,Non-infected,Other,11.3,2,254
254.2.02,Non-infected,Peptococcus,0.9,2,254
254.2.02,Non-infected,Peptoniphilus,9.85,2,254
254.2.02,Non-infected,Porphyromonadaceae.Family.,1.58,2,254
254.2.02,Non-infected,Porphyromonas,9.65,2,254
254.2.02,Non-infected,Proteus,0.13,2,254
254.2.02,Non-infected,Ruminococcaceae.Family.,0.58,2,254
254.2.02,Non-infected,Rummeliibacillus,0.29,2,254
254.2.02,Non-infected,Solibacillus,1.09,2,254
254.2.02,Non-infected,Staphylococcus,0.93,2,254
254.2.02,Non-infected,Streptococcaceae.Family.,0.03,2,254
254.2.02,Non-infected,Weissella,0,2,254
254.2.05,Non-infected,Acinetobacter,1.09,2,254
254.2.05,Non-infected,Actinomyces,1.25,2,254
254.2.05,Non-infected,Actinomycetales.Order.,3.32,2,254
254.2.05,Non-infected,Aerococcaceae(Family),0.17,2,254
254.2.05,Non-infected,Aerococcus,2.04,2,254
254.2.05,Non-infected,Allobaculum,2.45,2,254
254.2.05,Non-infected,Anaerococcus,6.17,2,254
254.2.05,Non-infected,Arcanobacterium,2.11,2,254
254.2.05,Non-infected,Bacteroidales_S24-7(Family),0.36,2,254
254.2.05,Non-infected,Chlamydia,0,2,254
254.2.05,Non-infected,Clostridiaceae.otu1,2.66,2,254
254.2.05,Non-infected,Clostridiaceae(Family),17.94,2,254
254.2.05,Non-infected,Corynebacterium,18.37,2,254
254.2.05,Non-infected,Enterococcus,0.28,2,254
254.2.05,Non-infected,Erysipelotrichacea_PSB-M-3,0.42,2,254
254.2.05,Non-infected,Escherichia,0.02,2,254
254.2.05,Non-infected,Facklamia,1.51,2,254
254.2.05,Non-infected,Helcococcus,0.34,2,254
254.2.05,Non-infected,Other,12.3,2,254
254.2.05,Non-infected,Peptococcus,0.4,2,254
254.2.05,Non-infected,Peptoniphilus,8.17,2,254
254.2.05,Non-infected,Porphyromonadaceae.Family.,2.24,2,254
254.2.05,Non-infected,Porphyromonas,14.71,2,254
254.2.05,Non-infected,Proteus,0.06,2,254
254.2.05,Non-infected,Ruminococcaceae.Family.,0.3,2,254
254.2.05,Non-infected,Rummeliibacillus,0.08,2,254
254.2.05,Non-infected,Solibacillus,0.49,2,254
254.2.05,Non-infected,Staphylococcus,0.68,2,254
254.2.05,Non-infected,Streptococcaceae.Family.,0.04,2,254
254.2.05,Non-infected,Weissella,0,2,254
254.2.08,Non-infected,Acinetobacter,1.11,2,254
254.2.08,Non-infected,Actinomyces,3.99,2,254
254.2.08,Non-infected,Actinomycetales.Order.,0.92,2,254
254.2.08,Non-infected,Aerococcaceae(Family),0.28,2,254
